row ID,row m/z,row retention time,Af-T,Af-L,Af-F,Af-B,Ah-L,Ahv-T,Ah-T,Ah-F,Ahv-F,Ahv-T,Ahv-L,Aj-B,Aj-L,Aj-T,Aj-F
100,749.3584,16.1067,1308.278421,43095.19991,84.816,361.6515,59.859,0,18.5725,0,33.876,0,361.5744233,45.36,89.076,0,0
101,267.0693,0.824,10456.00362,17958.34485,1570.659931,6500.965225,11399.47482,9849.241053,16436.37989,1400.372,5937.671917,15851.22815,7858.740355,6806.753297,29787.46016,12180.78976,7248.279592
102,415.1962,5.4908,3416.685,25629.43006,183.348,1657.762772,7341.103,2497.133483,3656.557678,43.7645,948.3370315,4619.099059,3608.23421,1647.4465,5661.817524,1905.887062,1579.72757
103,791.3674,18.2083,2478.181005,14780.99098,165.935,1342.768403,0,0,44.965,0,32.43,56.28,477.0998479,97.05578796,238.91,0,36.36
104,461.1078,6.8629,2070.699694,30686.3103,201.955,2903.107455,50.07,64.729,64.432,39.8125,171.9522562,33.36,28.969,0,184.8027441,205.2306686,111.726
105,289.0685,3.1244,8733.736025,27674.55204,0,25686.39749,0,0,49.95,14.985,38.551,18.722,0,49.665,41.144,0,0
106,413.1427,4.9719,2188.034475,8880.738923,557.7101642,1494.108362,21186.26026,1957.834594,4669.948438,202.6553624,4376.6669,4859.475297,4493.670335,2132.778656,10024.62098,2859.146264,13829.94643
107,216.8507,26.0825,30461.82776,19171.44125,1105.165539,18735.00979,13750.17445,34629.18313,15.15,31732.61789,19562.77252,11580.40864,23232.45584,31364.48754,32845.00062,22943.30988,18134.53406
108,515.08,5.2973,100.159,31463.48782,50.193,237.2619017,9976.608379,302.77,337.512,85.966,61.66,302.0214695,11306.86421,172.7554163,11430.30921,7464.00453,294.4599623
109,661.4324,19.1501,21218.09791,12130.90746,114.98,11181.3787,0,57.51,60.32,62.37,34.06,26.565,134.975,1368.70105,252.405,61.82,48.36
110,667.4052,12.5899,155.6775,10422.59149,32.4,48.6,89.003,21.084,71.604,89.9885,0,30.666,59.994,0,442.3795541,0,151.7625
111,479.0817,4.0693,1074.794804,14455.42096,34.075,463.1527566,43.7565,69.746,87.006,75.008,190.256,37.51,117.332,45.551,57.152,127.7598262,105.7102138
112,519.3683,19.2409,10516.52236,12702.96053,1531.095,9347.65583,378.1240054,563.6289691,57.925,216.485,442.2720819,227.445,143.08,295.7856201,6519.557722,32717.65994,30161.66009
113,651.4115,12.7346,175.26,7226.738022,29.33665788,212.649,33.315,49.4025,0,43.57457428,0,15.14,48.768,27.7125,55.9625,0,0
114,451.2162,2.3385,345.515803,17476.2232,29.268,663.5905041,81.6635,138.0909888,237.38,0,84.568,21.515,26.7135,287.4612648,162.747,368.1052156,114.4631426
115,555.2841,19.3669,29,22700.41379,29.21,409.4114163,65296.63687,510.9137671,4469.231658,7137.879854,588.8190266,93.925,23090.27563,39.69,21553.4748,362.9421509,3001.0727
116,665.4251,14.6096,134.72,18629.61172,39.888,109.034502,28.315,56.583,46.041,331.8942376,0,0,47.42,18.9,42.8125,60.3780092,0
117,785.0857,3.4536,10420.83891,8694.585703,30118.16363,8159.053162,0,133.272,26.847,2107.210066,75814.23922,12.6735,13637.96981,0,44079.82247,127.4292944,14.508
118,695.4399,16.6881,6407.954082,23405.186,2155.967151,3634.405294,0,34.48369019,35,68.6,19.525,194.513,125.245,85.74449203,34.675,0,72.882
119,531.0752,4.6599,1244.138995,20476.93664,112.1145,1869.19804,9927.286761,395.2365,175.61,215.179,1052.009,1564.673761,10847.68661,167.6185,2401.003405,2211.252001,519.0819648
120,293.2097,13.2478,859.8945,8845.236018,24.8755,733.9325421,18048.76782,2349.076311,1988.0653,24.639,208.4105,1130.334,3219.780592,970.2823069,5661.805094,9486.925871,4783.209312
121,677.4266,16.6871,152.4357857,10468.50673,97.2845,1721.652034,16.92,149.25,76.7,32.34,0,63.715,111.563,123.7170927,78.468,54.264,0
122,449.0702,4.5595,72.72538147,10092.16264,35.5485,59.0715,0,36.675,45.4895,22.77,0,0,53.3332998,26.004,92.175,36.198,0
123,417.2109,5.5199,9344.691471,7626.093414,312.967969,9225.484719,178.7103999,1083.111128,2622.546858,0,26.381,420.8525,287.6040001,10621.21934,4004.147284,6337.944195,1991.295106
124,791.3717,18.556,10083.56765,8827.062676,83.10444946,4380.591731,0,23.76,16.6,29.2,0,0,115.2371143,166.455,166.79,40.18,49.6
125,607.3507,11.4959,199.21,6881.578977,314.7677402,157.5606977,10.165,42.123,56.2,65.544,23.4465,49.588,75.7095,21.034,34.182,87.265,147.53
126,315.1063,3.4391,519.18141,7538.414625,155.247,149.45,9214.881959,1083.256957,2696.390936,85.3485,515.4632865,2093.386571,2059.215181,494.5905,1924.743664,1353.889907,5629.999655
127,501.0629,5.1545,37.6,13029.68108,120.2787067,110.572,4520.520281,0,89.976,144.126,268.6138055,130.218,663.1008624,0,503.2571067,438.4599778,79.7465
128,395.1906,3.3857,9453.331114,13301.51193,122.4475,4439.965262,1485.767361,913.5743412,3213.563038,27.591,207.8595,4311.212451,2642.761976,271.2328289,1431.27129,6118.458322,531.9326041
129,693.4244,13.9876,954.608,7732.225907,29.9295,1169.427074,33.84,16.812,42.09,498.5705552,8.316,0,154.5992432,95.37285318,68.913,46.928,113.34
130,429.1751,5.5421,15550.02217,7221.536049,120.75,7938.019484,2320.507636,488.152,8912.910051,66.751,38.61,613.9970247,47.183,4138.303254,6090.419279,3938.949229,3778.271147
131,367.0402,10.6861,4555.154851,6599.994117,132.587,1942.737498,38.376,42.2625,34.57,0,29.106,32.2805,54.274,36.5005,74.5105,35.121,108.2355
132,383.1179,0.833,11941.96446,8560.549717,320.1485,10907.84487,30521.81108,774.6196938,3477.477432,0,19113.17957,9103.120306,38065.24941,308.1134845,26015.61991,13192.94788,51417.86995
133,540.3287,14.5729,725.2464691,8845.62832,1512.182326,139.2975,5943.978231,3597.762821,107.2955,848.308,12848.49112,203.5568347,1077.304565,134.5996266,13112.62432,6490.339345,643.4368357
134,709.4175,14.0309,258.5845773,9409.052339,55.44,353.43,0,17.798,0,28.731,0,27.296,26.28,59.262,155.2014029,136.9477358,0
135,717.4235,16.0916,1231.447993,18546.06446,177.7531414,2787.68433,25.519,31.119,51.8925,53.625,44.4675,10.602,95.846,165.24,131.3315,44.143,107.1245
136,285.0385,7.9867,1814.305633,6710.392558,138.402,2253.591153,245.4677118,0,85.47,1894.685551,129.906,117.364,465.4349398,0,1289.830214,641.6092256,538.1005533
137,158.9754,0.6805,9723.310975,6225.241323,7098.830021,12556.1887,11156.84659,4793.856926,5402.070171,4794.532468,9557.732613,4562.368368,9354.510021,3503.916203,8828.275098,7628.573274,3058.598286
138,181.0686,0.7897,5071.821806,9352.61332,43911.29892,3994.750071,17835.67438,13514.16958,23818.43609,62559.48164,2270.111753,15471.79723,10236.33355,15684.33234,4752.475812,40465.61759,12989.89474
139,783.0709,2.0834,2379.143732,842.9762988,86888.79273,5061.693737,0,12.188,20.125,906.2117134,211955.0644,21.715,336.7201699,24.853,9602.29317,54.7025,16.7145
140,783.0716,2.6536,3416.947621,2759.77,68721.51583,8416.172535,0,13.4225,13.662,3500.749921,200953.5518,36.961,1498.398445,0,10240.9582,18.241,17.651
141,551.0421,3.152,39.984,91.389,26623.3596,0,20.828,16.749,0,44.385,95.50989153,60.665,43.368,25.872,71.5,69.5605,64.3695
142,935.0828,3.191,356.524,52.273,24535.65447,17339.67158,0,0,0,17.184,8866.977348,0,44.48,0,43.494,0,0
143,679.4436,19.25,248569.7706,74013.39168,24082.43098,50154.60156,189.8367395,98.1655072,0,40.3,58.025,209.88,1453.232057,6547.744729,203.165,588.3173376,150.4762921
144,617.0591,2.8466,56.0875,11.209,19919.75156,240.5004503,0,0,0,37.15091431,195.935,0,27.54,24.32,24.491,43.4465,26.7135
145,533.058,2.8877,6672.772808,27.9675,20459.23566,32303.01825,131.9735,0,107.436,70.284,7246.400988,0,3.9995,62.907,307.5458541,60.211,0
146,481.0612,1.1007,6224.261197,4379.300074,26939.9097,9417.119943,83.742,76.35830191,64.9565,7531.091343,59032.54481,18.837,16702.53909,107.8585,9158.31628,75.15922369,4.7725
147,469.0028,3.5848,105.27,76.194,19625.33849,1305.894378,22.2425,24.2655,21.58,780.7773322,64084.46704,0,269.5415,28.899,1037.80867,63.2295,85.898
148,433.0395,4.0965,8524.452083,1418.949726,29558.64925,7968.180377,2965.961269,506.7865,1094.098566,19193.67006,24066.03473,888.509,26177.56975,977.9431248,9760.401873,14029.7425,329.7966629
149,585.2287,13.4693,1709.521298,89.20944193,16618.25436,407.1181523,2584.083159,4318.405126,6906.402485,12103.38267,4106.8288,8145.821525,1987.363815,6723.942245,2109.019484,11061.78923,1615.741515
